decision_key,decision_status,resolved_policy_item_id,applied_status,applied_primary_strategy_id,applied_secondary_strategy_ids,reviewer_name,reviewer_notes
SRD-POL-001-00534b8227ae,no_strategy,ITM-POL-001-01019,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-d8588d314881,no_strategy,ITM-POL-001-01020,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-b57aa36029c2,no_strategy,ITM-POL-001-01021,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-12d91323f881,no_strategy,ITM-POL-001-01022,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-a67a6952b930,no_strategy,ITM-POL-001-01023,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-d62be9b16f95,no_strategy,ITM-POL-001-01025,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-0270662ecec1,no_strategy,ITM-POL-001-01027,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-eccb27f0f3c2,no_strategy,ITM-POL-001-01028,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-1331360cc3ee,reviewed,ITM-POL-001-01029,applied,STR-006,,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-001-6f083675629f,no_strategy,ITM-POL-001-01030,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-166ddf2fe190,no_strategy,ITM-POL-001-01033,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-e89eb77fcb6e,no_strategy,ITM-POL-001-01034,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-abecdb74a374,no_strategy,ITM-POL-001-01035,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-3d9ff4aa5076,no_strategy,ITM-POL-001-01036,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-5c2c9f95dfe0,no_strategy,ITM-POL-001-01037,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-362f5d1795e5,no_strategy,ITM-POL-001-01038,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-538bd829ad06,no_strategy,ITM-POL-001-01040,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-39c67c699283,no_strategy,ITM-POL-001-01041,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-91efcf9c8afc,no_strategy,ITM-POL-001-01042,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-ff8709b15437,no_strategy,ITM-POL-001-01044,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-367bfec1d498,no_strategy,ITM-POL-001-01046,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-aaca101a42ff,no_strategy,ITM-POL-001-01047,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-61d275ae19a8,no_strategy,ITM-POL-001-01049,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-378f46900751,no_strategy,ITM-POL-001-01050,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-066f2eb4a93b,no_strategy,ITM-POL-001-01051,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-7d595831d4d5,no_strategy,ITM-POL-001-01052,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-0a5e4bb6a6e5,no_strategy,ITM-POL-001-01053,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-c600b5a76659,no_strategy,ITM-POL-001-01054,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-fb5dea23c4fa,no_strategy,ITM-POL-001-01056,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-a9a8a698854a,no_strategy,ITM-POL-001-01057,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-6496ef199af8,no_strategy,ITM-POL-001-01058,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-02f2b2e91239,no_strategy,ITM-POL-001-01059,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-5017d7b0d8ab,no_strategy,ITM-POL-001-01060,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-2d2833c191d1,no_strategy,ITM-POL-001-01062,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-646600eb429c,no_strategy,ITM-POL-001-01063,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-02e83eec209f,no_strategy,ITM-POL-001-01064,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-794dea9cec9e,no_strategy,ITM-POL-001-01065,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-70782295e7a3,no_strategy,ITM-POL-001-01066,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
